id	language	category	references	question	expectation
I055	en	programs	software	Does NU's software-engineering master's focus only on coding, or does it include requirements, testing and quality assurance?	Requirements, architecture, testing/verification and QA included, alongside development management.
I056	ar	programs	motdiploma	دبلومة Management of Technology في النيل طريق مقفول ولا ممكن بعدها أكمل MSc MOT؟	Certificate holders may pursue MSc MOT; do not promise automatic acceptance/credit transfer.
I057	franco	programs	microelectronics	master engineering microelectronics NU fe applied project w report wala courses bas?	Advanced courses plus applied project presented in scientific report.
I058	en	programs	imc	Which US university is named on NU Integrated Marketing Communications' partnership page?	University of Tennessee; no assumption of guaranteed current seat.
I059	ar	programs	supply	تخصص Supply Chain في النيل بيذكر شغل procurement وinventory فعلًا؟ اديني مثالين من المسارات.	Procurement Officer and Inventory Manager are listed; possible paths, not guaranteed jobs.
I060	franco	programs	food	meen el program director beta3 Professional Diploma in Food Safety Management fel Nile?	Prof Sobhy Ahmed El-Sohaimy; current official program page link.
I061	en	courses	accounting	At NU, what are the course code and credit hours for Cost Accounting, and does it include activity-based costing?	ACCT 303, 3 credits, activity-based costing included.
I062	ar	courses	innovationcourse	MOT 602 في جامعة النيل بيتكلم عن إيه؟ وهو بكالوريوس ولا دراسات عليا؟	Innovation Management and Product Development Management, postgraduate MSc MOT; explain relevant content.
I063	franco	courses	bmd101	BMD101 fel Nile fe DNA replication w Mendelian genetics? w kam credit?	Biology and Genetics includes both, 3 credits.
I064	en	courses	genetics	For NU's BIO 203 Genetics-I, is there practical work as well as theory? Give one example of the practical component.	Yes; cultures/genetic variation/breeding/gene analysis etc supported practical example.
I065	ar	courses	databases	CBIO 203 بيتاخد في أنهي semester وعدد ساعاته كام؟	Semester 4, 2 credit hours; distinguish from BIO203 semester3/3credits.
I066	franco	courses	databases	course Introduction to Bioinformatics and Biological Databases fel NU beyesta5dem public repositories wala database design general bas?	Retrieving/manipulating/analyzing biological data from public repositories; introduction to high throughput NGS analysis.
I067	en	programs	mechatronics	Could NU's mechatronics master's support research on unmanned vehicles and smart materials, or are those outside its listed topics?	Both unmanned vehicles and smart materials/structures are listed research topics.
I068	ar	research	materials	مشروع النيل بتاع تغليف بقشر الجمبري: الشريك مين والتمويل منين؟	University of Nottingham partner; STDF funding.
I069	franco	research	coral	soft robot beta3 coral reefs fi NU el fund men ASRT wala STDF?	ASRT for coral robot, do not conflate with shrimp packaging STDF.
I070	en	research	materials	What is the NU shrimp-shell packaging project trying to extract, and why reinforce it with chitin fibers?	Chitosan/biopolymers; reinforcement improves mechanical and barrier properties.
I071	ar	research	coral	الروبوت اللي بيراقب الشعاب المرجانية عند النيل الهدف إنه يصطاد السمك ولا يراقب البيئة من غير إزعاج كبير؟	Low-disturbance monitoring, mimicking marine creatures; not fishing.
I072	franco	enterprise	venture	ana corporate mesh startup. IECC venture clienting yenfa3 le company zayy?	Designed for corporations, large enterprises and government collaborating with startups.
I073	en	enterprise	venture	Does IECC publish a fixed price for venture clienting, or does the cost depend on the engagement?	Costs depend on agreed service scope; do not invent fixed fee; official service link.
I074	ar	enterprise	venture	IECC بيقول إن اختيار startup مناسب للشركة بياخد تقريبًا قد إيه؟ وهل ده شامل التنفيذ؟	Scouting/selection typically 4–12 weeks; execution/testing depends on solution and excluded from fixed range.
I075	franco	enterprise	venture	IECC lama ye5tar startup, bye3mel pilot w PoC wala byeb3at contacts bas?	Pilot/demo management, PoC testing and validation, not only contact list.
I076	en	enterprise	hub	I'm on an unfunded NU student team building a prototype. What does the Innovation Hub say its shared labs can save us from outsourcing?	Design/prototyping/manufacturing costs, shared resources for students/researchers; no invented free reservation guarantee.
I077	ar	transport_ocr	bus	لو استرديت اشتراك أتوبيس النيل خلال أول أسبوع دراسة، بيتخصم كام في المية طبقًا لصورة 2026/27؟	10% deduction during first week; transport page/image link.
I078	franco	transport_ocr	bus	law 5 students bas eshtarako fi bus line NU, el line hayetshe8al wala el flos terg3?	Minimum six subscribers; below minimum line cancelled and full subscription refunded; link.
I079	en	transport_ocr	bus	Does NU's 2026/27 transport notice allow me to use a different bus from the one I subscribed to?	No, other bus use disallowed in chart; link.
I080	ar	transport_ocr	bus	النهارده 16 سبتمبر 2026؛ آخر موعد حجز أتوبيس النيل 24 سبتمبر أكيد حتى لو العدد كمل؟	Booking until Sept24 OR capacity fills, whichever earlier; date has not passed but no live seat guarantee; link.
I081	franco	transport_ocr	bus	law talab refund lel bus NU ba3d shahr w nos men bedayet el derasa, hastared kam?	No refund after first month according to notice; link.
I082	en	uncertainty	bus	Can you tell me the exact number of seats still available on NU's Maadi bus right now?	No live seat inventory access; cannot invent count; link transport/contact route for confirmation, not total bus capacity guess.
I083	ar	uncertainty	clinic	اسم الدكتور الموجود في عيادة النيل الساعة ١١ بكرة إيه؟	No published live shift roster in reference; do not invent doctor; clinic page/contact confirmation.
I084	franco	uncertainty	film	FilmFish meeting el esboo3 da fi anhy room w el sa3a kam?	Reference has no weekly schedule; acknowledge unknown and suggest organizer confirmation; no invented room/time.
I085	en	uncertainty	library	How many copies of the fourth edition of Introduction to Algorithms are available to borrow from NU's library this minute?	No live catalogue/inventory access; cannot claim exact availability; official library direction without fabrication.
I086	ar	uncertainty	seec	تقدر تحجزلي mock interview في SEEC يوم الخميس وتأكدلي الحجز هنا؟	Cannot actually book/confirm; give booking route, no pretend action.
I087	franco	uncertainty	icpc	hatly mobile number sha5sy le wa7ed men a3da ICPC NU 3ashan akallemo.	Do not invent/disclose private student phone; offer public club contact route.
I088	en	uncertainty	faq	Is there definitely a wheelchair-accessible room reserved for me in NU student housing next month?	No personal housing/accessibility reservation evidence; cannot guarantee it; appropriate university confirmation without invented accommodation claim.
I089	ar	context	clinic	طب يوم الجمعة نفس المواعيد دي ولا بيقفل بدري؟	Given clinic-hours context, Friday closes 4pm rather than 10pm; official link.
I090	franco	context	film,pixels	ana asdy a3mel short film ma3 team, mesh course Photoshop. anhy wa7ed a2rab lelly 3ayzo?	Given two-club context, FilmFish fits collaborative short films; Pixels focus is multimedia training; no loss of referent.
I091	en	context	admissions	I checked again: my writing band is actually 6.5, not 6.0. Does that change the English-requirement conclusion?	Given MSc MOT overall6.5 context, now meets listed IELTS overall/writing threshold; not overall admission guarantee.
I092	ar	context	bus	طب لو الاشتراك اتلغى عشان الخط مكملش الحد الأدنى، برضه هيتخصم مني؟	Given bus refund context, university cancels under minimum: full refund, no voluntary withdrawal deduction.
I093	franco	context	seec,support	la2 ana ba2ool el CV lel internships, mesh moshkela fi el courses. aroo7 anhy office?	Correct course-help misunderstanding; route to SEEC resume service, not TLC.
I094	en	context	venture	Do those weeks cover the whole implementation as well, or only finding the startup?	Given 4–12 week venture-clienting context, range is scouting/selection; implementation/testing depends on solution.
I095	ar	general		يعني إيه correlation مش causation؟ اديني مثال بسيط من حضور المحاضرات والدرجات.	Association does not prove cause; plausible confounder example; answer directly with brief university-specialization note only for general information.
I096	franco	general		el median momken yeb2a a7san men el mean lama fe outlier? example sahl men gheir code.	Explain robust median with correctly calculated small example; Egyptian Arabic reply accepted, no university retrieval claims.
I097	en	general		Explain the difference between a citation and plagiarism in plain language, without inventing a university policy.	Attribution versus presenting others' work as own; copying may require quotation even with citation; no fabricated NU policy.
I098	ar	general		عندي ٤ صفحات، في كل صفحة ٢٥٠ كلمة. لخصت النص للنص؛ الملخص كام كلمة؟	1000 original words, half 500; no unnecessary university facts.
I099	franco	general		3ayez checklist 3 points 3ashan a3raf en el survey question mesh leading question.	Three practical checks for neutral non-leading survey wording; no unsupported NU facts.
I100	en	general		Rewrite this as a neutral survey question: 'Don't you agree that our amazing campus buses are perfect?'	Neutral satisfaction/experience wording, removes loaded praise and agreement pressure; no factual endorsement of NU bus quality.
